SEQ|Species|Sources|Tree|Treeish_batch|Treeish_justification|SID|WCVP|WCVP_match|TRY_Species|WFO_Accepted|WFO_Unchecked|WFO_Synonym|WFO_none
33|Abies fanjingshanensis|1|YES|1|Synthesis|wfo-0000511141|wcvp-381770|IPNI|1|1|0|0|0
34|Abies fargesii|6|YES|1|TreeGOER|wfo-0000511143|wcvp-381772|IPNI|2|1|0|0|0
35|Abies firma|13|YES|1|TreeGOER|wfo-0000511154|wcvp-381782|IPNI|3|1|0|0|0
36|Abies flinckii|1|YES|1|TreeGOER+|wfo-0000511155|wcvp-381783|IPNI|1|1|0|0|0
37|Abies forrestii|6|YES|1|TreeGOER|wfo-0000511156|wcvp-381784|IPNI|5|1|0|1|0
38|Abies fraseri|14|YES|1|TreeGOER|wfo-0000511165|wcvp-381792|IPNI|2|1|0|0|0
39|Abies grandis|19|YES|1|TreeGOER|wfo-0000511178|wcvp-381804|IPNI|4|1|0|1|0
40|Abies guatemalensis|11|YES|1|TreeGOER|wfo-0000511185|wcvp-381810|IPNI|1|1|0|0|0
41|Abies hickelii|3|YES|1|TreeGOER|wfo-0000511197|wcvp-381821|IPNI|1|1|0|0|0
42|Abies hidalgensis|2|YES|1|TreeGOER|wfo-0000511199|wcvp-381823|IPNI|1|1|0|0|0
43|Abies holophylla|6|YES|1|TreeGOER|wfo-0000511205|wcvp-381827|IPNI|2|1|0|0|0
44|Abies homolepis|11|YES|1|TreeGOER|wfo-0000511207|wcvp-381829|IPNI|3|1|0|0|0
45|Abies insignis|1|YES|1|TreeGOER+|wfo-0000511212|wcvp-381834|IPNI|1|0|0|0|1
46|Abies kawakamii|4|YES|1|TreeGOER|wfo-0000511221|wcvp-381842|IPNI|3|1|0|0|0
47|Abies koreana|7|YES|1|TreeGOER|wfo-0000511223|wcvp-381844|IPNI|2|1|0|0|0
48|Abies lasiocarpa|18|YES|1|TreeGOER|wfo-0000511232|wcvp-381853|IPNI|5|1|0|1|0
49|Abies magnifica|16|YES|1|TreeGOER|wfo-0000511249|wcvp-381868|IPNI|6|1|0|0|0
50|Abies mariesii|6|YES|1|TreeGOER|wfo-0000511255|wcvp-381874|IPNI|3|1|0|0|0
51|Abies marocana|2|YES|4|EUFORGEN|wfo-0000511259|wcvp-381877|IPNI|1|1|0|0|0
52|Abies nebrodensis|4|YES|1|TreeGOER|wfo-0000511286|wcvp-381902|IPNI|1|1|0|0|0
53|Abies nephrolepis|11|YES|1|TreeGOER|wfo-0000511289|wcvp-381905|WCVP|3|1|0|0|0
54|Abies nordmanniana|12|YES|1|TreeGOER|wfo-0000511305|wcvp-381919|IPNI|5|1|0|0|0
55|Abies numidica|8|YES|1|TreeGOER|wfo-0000511319|wcvp-381929|IPNI|4|1|0|0|0
56|Abies pindrow|13|YES|1|TreeGOER|wfo-0000511353|wcvp-381960|IPNI|2|1|0|0|0
57|Abies pinsapo|11|YES|1|TreeGOER|wfo-0000511356|wcvp-381963|IPNI|4|1|0|0|0
58|Abies procera|16|YES|1|TreeGOER|wfo-0000511367|wcvp-381974|IPNI|3|1|0|0|0
59|Abies recurvata|8|YES|1|TreeGOER|wfo-0000511372|wcvp-381978|IPNI|2|1|0|0|0
60|Abies religiosa|12|YES|1|TreeGOER|wfo-0000511376|wcvp-381982|IPNI|5|1|0|0|0
61|Abies sachalinensis|13|YES|1|TreeGOER|wfo-0000511384|wcvp-381990|WCVP|7|1|0|1|0
62|Abies sibirica|13|YES|1|TreeGOER|wfo-0000511396|wcvp-382001|IPNI|3|1|0|1|0
63|Abies spectabilis|11|YES|1|TreeGOER|wfo-0000511410|wcvp-382014|WCVP|6|1|0|1|0
64|Abies squamata|5|YES|1|TreeGOER|wfo-0000511416|wcvp-382019|IPNI|2|1|0|0|0
65|Abies veitchii|12|YES|1|TreeGOER|wfo-0000511444|wcvp-382044|IPNI|4|1|0|0|0
66|Abies vejarii|3|YES|1|TreeGOER|wfo-0000511449|wcvp-382049|IPNI|2|1|0|0|0
67|Abies vilmorinii|1|NO||""|wcvp-460588|wcvp-460588|IPNI|0|0|0|0|1
68|Abies yuanbaoshanensis|2|YES|1|TreeGOER|wfo-0000511467|wcvp-382065|IPNI|2|1|0|0|0
69|Abies ziyuanensis|1|YES|2|lifeform tree|wfo-0000511470|wcvp-382068|IPNI|2|1|0|0|0
70|Abietinella abietina|1|NO||""|wfo-0001147534|""|WCVP|2|1|0|0|0
71|Abildgaardia ovata|5|NO||""|wfo-0000336880|wcvp-217236|IPNI|7|1|0|0|0
72|Abildgaardia oxystachya|1|NO||""|wfo-1000025303|wcvp-546000|IPNI|4|1|0|0|0
73|Abobra tenuifolia|5|NO||""|wfo-0000511478|wcvp-2610155|IPNI|1|1|0|0|0
74|Abrahamia deflexa|1|YES|1|TreeGOER|wfo-0001278403|wcvp-3226799|IPNI|2|1|0|0|0
75|Abrahamia ditimena|4|YES|1|TreeGOER|wfo-0001277939|wcvp-3226767|IPNI|2|1|0|0|0
76|Abrahamia grandidieri|4|YES|1|TreeGOER|wfo-0001278404|wcvp-3226687|IPNI|1|1|0|0|0
77|Abrahamia humbertii|1|YES|1|TreeGOER|wfo-0001278405|wcvp-3226686|IPNI|1|1|0|0|0
78|Abrahamia latifolia|1|YES|1|TreeGOER|wfo-0001248691|wcvp-3226677|IPNI|1|1|0|0|0
79|Abrahamia lecomtei|1|YES|1|TreeGOER|wfo-0001278407|wcvp-3226676|IPNI|1|1|0|0|0
80|Abrahamia longipetiolata|1|YES|1|TreeGOER|wfo-0001278410|wcvp-3226716|IPNI|0|1|0|0|0
81|Abrahamia louvelii|2|YES|1|TreeGOER|wfo-0001278411|wcvp-3226715|IPNI|1|1|0|0|0
82|Abrahamia oblongifolia|1|YES|1|TreeGOER|wfo-0001278414|wcvp-3226712|IPNI|1|1|0|0|0
83|Abrahamia pauciflora|1|YES|1|TreeGOER|wfo-0001278415|wcvp-3226709|IPNI|1|1|0|0|0
84|Abrahamia phillipsonii|1|YES|1|TreeGOER|wfo-0001278416|wcvp-3226717|IPNI|0|1|0|0|0
85|Abrahamia sericea|2|YES|1|TreeGOER|wfo-0001278418|wcvp-3226706|IPNI|2|1|0|0|0
86|Abrahamia suarezensis|1|YES|1|TreeGOER|wfo-0001278419|wcvp-3226704|IPNI|0|1|0|0|0
87|Abrahamia thouvenotii|2|YES|1|TreeGOER|wfo-0001248689|wcvp-3226703|IPNI|1|1|0|0|0
88|Abrahamia viguieri|1|YES|1|TreeGOER|wfo-0001278420|wcvp-3226720|IPNI|2|1|0|0|0
89|Abroma augustum|18|YES|1|TreeGOER|wfo-0000511487|wcvp-2610167|IPNI|4|1|0|0|0
90|Abronia alpina|1|NO||""|wfo-0000511505|wcvp-2610185|IPNI|1|1|0|0|0
91|Abronia ameliae|1|NO||""|wfo-0000511506|wcvp-2610186|IPNI|2|1|0|0|0
92|Abronia ammophila|2|NO||""|wfo-0000511507|wcvp-2610187|IPNI|1|1|0|0|0
93|Abronia angustifolia|1|NO||""|wfo-0000511509|wcvp-2610189|IPNI|2|1|0|0|0
94|Abronia argillosa|1|NO||""|wfo-0000511514|wcvp-2610193|IPNI|1|1|0|0|0
95|Abronia bigelovii|1|NO||""|wfo-0000511518|wcvp-2610197|IPNI|1|1|0|0|0
96|Abronia bolackii|1|NO||""|wfo-0000511519|wcvp-2610209|WCVP|1|1|0|0|0
97|Abronia carnea|1|NO||""|wfo-0000511525|wcvp-2610202|IPNI|3|1|0|0|0
98|Abronia crux-maltae|1|NO||""|wfo-0000511530|wcvp-2610207|IPNI|2|1|0|0|0
99|Abronia elliptica|2|NO||""|wfo-0000511532|wcvp-2610209|IPNI|4|1|0|0|0
100|Abronia fragrans|8|NO||""|wfo-0000511536|wcvp-2610213|IPNI|5|1|0|0|0
101|Abronia gracilis|1|NO||""|wfo-0000511546|wcvp-2610222|IPNI|2|1|0|0|0
102|Abronia insularis|1|NO||""|wfo-0001086716|wcvp-2610224|IPNI|1|1|1|0|0
103|Abronia latifolia|6|NO||""|wfo-0000511550|wcvp-2610226|IPNI|2|1|0|0|0
104|Abronia macrocarpa|1|NO||""|wfo-0000511553|wcvp-2610229|IPNI|1|1|0|0|0
105|Abronia maritima|4|NO||""|wfo-0000511555|wcvp-2610230|IPNI|3|1|0|0|0
106|Abronia mellifera|1|NO||""|wfo-0000511556|wcvp-2610232|IPNI|1|1|0|0|0
107|Abronia micrantha|1|NO||""|wfo-0000511558|wcvp-2610234|IPNI|6|1|0|1|0
108|Abronia minor|1|NO||""|wfo-0000511561|wcvp-2610237|IPNI|2|0|0|0|1
109|Abronia nana|1|NO||""|wfo-0000511562|wcvp-2610238|IPNI|3|1|0|0|0
110|Abronia neurophylla|1|NO||""|wfo-0001086721|wcvp-2610245|IPNI|1|1|0|0|0
111|Abronia pogonantha|1|NO||""|wfo-0000511575|wcvp-2610252|IPNI|2|1|0|0|0
112|Abronia turbinata|4|NO||""|wfo-0000511588|wcvp-2610264|IPNI|5|1|0|0|0
113|Abronia umbellata|2|NO||""|wfo-0000511592|wcvp-2610268|WCVP|3|1|0|0|0
114|Abronia villosa|4|NO||""|wfo-0000511604|wcvp-2610285|IPNI|4|1|0|0|0
115|Abrophyllum ornans|2|YES|3|Tallo|wfo-0000511610|wcvp-2610292|IPNI|4|1|0|0|0
116|Abrus baladensis|1|NO||""|wfo-0000191686|wcvp-2610301|IPNI|0|1|0|0|0
117|Abrus canescens|1|NO||""|wfo-0000178680|wcvp-2610303|IPNI|3|1|0|0|0
118|Abrus fruticulosus|3|NO||""|wfo-0000204238|wcvp-2610308|IPNI|8|1|0|0|0
119|Abrus gawenensis|1|NO||""|wfo-0000191687|wcvp-2610309|IPNI|1|1|0|0|0
120|Abrus laevigatus|2|NO||""|wfo-0000178691|wcvp-2610313|IPNI|2|1|0|0|0
121|Abrus melanospermus|5|NO||""|wfo-0000199888|wcvp-2610321|IPNI|0|1|0|0|0
122|Abrus precatorius|15|NO||""|wfo-0000178702|wcvp-2610328|IPNI|5|1|0|0|0
123|Abuta barbata|1|NO||""|wfo-0000511626|wcvp-2610363|IPNI|1|1|0|0|0
124|Abuta bullata|1|NO||""|wfo-0000511630|wcvp-2610367|IPNI|1|1|0|0|0
125|Abuta candollei|2|NO||""|wfo-0000511632|wcvp-2610369|IPNI|1|1|0|0|0
126|Abuta grandifolia|8|YES|1|TreeGOER|wfo-0000511646|wcvp-2610381|IPNI|5|1|0|0|0
127|Abuta grisebachii|1|YES|1|TreeGOER|wfo-0000511647|wcvp-2610382|IPNI|1|1|0|0|0
128|Abuta imene|2|YES|1|TreeGOER|wfo-0000511650|wcvp-2610385|IPNI|1|1|0|0|0
129|Abuta obovata|2|NO||""|wfo-0000511662|wcvp-2610396|IPNI|1|1|0|0|0
130|Abuta panurensis|1|YES|1|TreeGOER|wfo-0000511665|wcvp-2610399|IPNI|2|1|0|0|0
131|Abuta platyphylla|2|NO||""|wfo-0000511669|wcvp-2610401|IPNI|0|1|0|0|0
132|Abuta rufescens|6|YES|1|TreeGOER|wfo-0000511672|wcvp-2610404|IPNI|4|1|0|2|0
133|Abuta sandwithiana|1|YES|1|TreeGOER|wfo-0000511675|wcvp-2610407|IPNI|1|1|0|0|0
134|Abuta selloana|3|YES|2|lifeform liana|wfo-0000511679|wcvp-2610410|IPNI|1|1|0|0|0
135|Abuta velutina|1|YES|1|TreeGOER|wfo-0000511693|wcvp-2610423|IPNI|1|1|0|0|0
136|Abutilon abutiloides|4|NO||""|wfo-0000511699|wcvp-2610431|IPNI|6|1|0|0|0
137|Abutilon anglosomaliae|1|NO||""|wfo-0000511721|wcvp-2610451|IPNI|2|1|0|0|0
138|Abutilon angulatum|5|NO||""|wfo-0000511722|wcvp-2610452|IPNI|6|1|0|0|0
139|Abutilon aurantiacum|1|YES|2|lifeform tree|wfo-0000511744|wcvp-2667918|WCVP|0|0|1|2|0
140|Abutilon auritum|3|NO||""|wfo-0000511747|wcvp-2610477|IPNI|4|1|0|0|0
141|Abutilon austroafricanum|1|NO||""|wfo-0000511751|wcvp-2610480|IPNI|4|1|0|0|0
142|Abutilon berlandieri|1|NO||""|wfo-0000511776|wcvp-2610503|WCVP|1|1|0|0|0
143|Abutilon bidentatum|1|NO||""|wfo-0000511779|wcvp-2610506|IPNI|8|1|0|0|0
144|Abutilon bivalve|1|NO||""|wfo-0001342139|wcvp-3001557|IPNI|5|1|0|0|0
145|Abutilon coccineum|1|NO||""|wfo-0001353641|""|WCVP|0|0|1|0|0
146|Abutilon densiflorum|8|YES|1|TreeGOER|wfo-0000511851|wcvp-2610572|IPNI|1|1|0|0|0
147|Abutilon eremitopetalum|3|NO||""|wfo-0000511883|wcvp-2610600|IPNI|2|1|0|0|0
148|Abutilon fraseri|1|NO||""|wfo-0000511907|wcvp-2610622|IPNI|3|1|0|0|0
149|Abutilon fruticosum|6|NO||""|wfo-0000511912|wcvp-2610628|IPNI|4|1|0|0|0
150|Abutilon giganteum|2|YES|1|TreeGOER|wfo-0000511929|wcvp-2610643|IPNI|1|1|0|0|0
151|Abutilon glabriflorum|1|NO||""|wfo-0000511931|wcvp-2610645|WCVP|3|1|0|0|0
152|Abutilon grandidentatum|1|YES|1|TreeGOER|wfo-0000511939|wcvp-2610652|IPNI|1|1|0|0|0
153|Abutilon grandiflorum|2|NO||""|wfo-0000511940|wcvp-2610653|IPNI|4|1|0|0|0
154|Abutilon grandifolium|8|NO||""|wfo-0000511941|wcvp-2610654|IPNI|4|1|0|0|0
155|Abutilon grantii|1|NO||""|wfo-0000511942|wcvp-2610655|IPNI|1|1|0|0|0
156|Abutilon greveanum|1|NO||""|wfo-0000511946|wcvp-2610659|IPNI|2|1|0|0|0
157|Abutilon grewiifolium|1|YES|1|TreeGOER|wfo-0000511949|wcvp-2610661|IPNI|1|1|0|0|0
158|Abutilon guineense|4|NO||""|wfo-0000511951|wcvp-2610663|IPNI|3|1|0|0|0
159|Abutilon haenkeanum|1|YES|1|TreeGOER|wfo-0000511953|wcvp-2610665|IPNI|1|1|0|0|0
160|Abutilon haitiense|1|NO||""|wfo-0000511954|wcvp-2610666|IPNI|0|1|0|0|0
161|Abutilon hannii|1|NO||""|wfo-0000511956|wcvp-2610668|IPNI|2|1|0|0|0
162|Abutilon herzogianum|3|YES|1|TreeGOER|wfo-0000511965|wcvp-2610676|IPNI|1|1|0|0|0
163|Abutilon hirtum|10|NO||""|wfo-0000511971|wcvp-2610681|IPNI|2|1|0|0|0
164|Abutilon hulseanum|1|NO||""|wfo-0000511977|wcvp-2610687|WCVP|1|1|0|0|0
165|Abutilon hybridum|6|NO||""|wfo-0000511978|wcvp-2610688|IPNI|1|0|1|0|0
166|Abutilon hypoleucum|1|NO||""|wfo-0000511979|wcvp-2610689|IPNI|1|1|0|0|0
167|Abutilon incanum|5|YES|1|TreeGOER|wfo-0000511986|wcvp-2610695|IPNI|3|1|1|0|0
168|Abutilon indicum|14|NO||""|wfo-0000511989|wcvp-2610698|IPNI|5|1|0|0|0
169|Abutilon leucopetalum|1|NO||""|wfo-0000512040|wcvp-2610745|IPNI|3|1|0|0|0
170|Abutilon longicuspe|6|YES|1|TreeGOER+|wfo-0000512048|wcvp-2610752|IPNI|3|1|0|0|0
171|Abutilon malacum|1|NO||""|wfo-0000512070|wcvp-2610772|WCVP|1|1|0|0|0
172|Abutilon mauritianum|7|NO||""|wfo-0000512081|wcvp-2610782|IPNI|2|1|0|0|0
173|Abutilon menziesii|3|NO||""|wfo-0000512090|wcvp-2610790|IPNI|2|1|0|0|0
174|Abutilon micropetalum|1|NO||""|wfo-0000512096|wcvp-2610796|IPNI|1|1|0|0|0
175|Abutilon milleri|3|NO||""|wfo-0001267449|wcvp-2610799|WCVP|0|0|1|0|0
176|Abutilon mollicomum|1|NO||""|wfo-0000512109|wcvp-2610807|IPNI|2|1|0|0|0
177|Abutilon mollissimum|1|NO||""|wfo-0000512110|wcvp-2610808|IPNI|1|1|0|0|0
178|Abutilon otocarpum|2|NO||""|wfo-0000512148|wcvp-2610842|IPNI|2|1|0|0|0
179|Abutilon oxycarpum|3|NO||""|wfo-0000512150|wcvp-2610844|IPNI|3|1|0|0|0
180|Abutilon palmeri|1|NO||""|wfo-0000512160|wcvp-2610855|IPNI|3|1|0|0|0
181|Abutilon pannosum|6|NO||""|wfo-0000512163|wcvp-2610858|IPNI|5|1|0|0|0
182|Abutilon parishii|1|NO||""|wfo-0000512167|wcvp-2610861|IPNI|1|1|0|0|0
183|Abutilon parvulum|1|NO||""|wfo-0000512170|wcvp-2610865|IPNI|1|1|0|0|0
184|Abutilon permolle|4|NO||""|wfo-0000512187|wcvp-2610881|IPNI|1|1|0|0|0
185|Abutilon persicum|1|NO||""|wfo-0000512188|wcvp-2610882|IPNI|1|1|0|0|0
186|Abutilon pyramidale|1|YES|1|TreeGOER|wfo-0000512231|wcvp-2610920|IPNI|1|1|0|0|0
187|Abutilon ramiflorum|2|YES|1|TreeGOER|wfo-0000512234|wcvp-2610923|IPNI|2|1|0|0|0
188|Abutilon ramosum|4|NO||""|wfo-0000512236|wcvp-2610925|IPNI|3|1|0|0|0
189|Abutilon regnellii|1|NO||""|wfo-0000512243|wcvp-2610931|IPNI|0|0|1|0|0
190|Abutilon reventum|1|NO||""|wfo-0000512246|wcvp-2610934|IPNI|1|1|0|0|0
191|Abutilon sachetianum|1|YES|1|TreeGOER|wfo-0000512262|wcvp-2610949|IPNI|1|1|0|0|0
192|Abutilon sandwicense|3|NO||""|wfo-0000512267|wcvp-2610953|IPNI|3|1|0|0|0
193|Abutilon sonneratianum|3|NO||""|wfo-0000512292|wcvp-2610977|IPNI|2|1|0|0|0
194|Abutilon stenopetalum|1|YES|1|TreeGOER|wfo-0000512302|wcvp-2610986|IPNI|1|1|0|0|0
195|Abutilon suntense|1|NO||""|wfo-0000512313|wcvp-2610996|IPNI|0|0|1|0|0
196|Abutilon terminale|1|NO||""|wfo-0000512322|wcvp-2611004|IPNI|1|1|0|0|0
197|Abutilon theophrasti|16|NO||""|wfo-0000512325|wcvp-2611008|IPNI|6|1|0|0|0
198|Abutilon thyrsodendron|1|YES|1|TreeGOER|wfo-0000512331|wcvp-2611013|IPNI|1|1|0|0|0
199|Abutilon trisulcatum|3|NO||""|wfo-0000512346|wcvp-2611027|IPNI|4|1|0|0|0
200|Abutilon venosum|3|YES|1|GlobUNT|wfo-0000512365|wcvp-2611045|IPNI|0|1|0|0|0
201|Abutilon virginianum|2|YES|1|TreeGOER|wfo-0000512376|wcvp-2611058|IPNI|3|1|0|0|0
202|Abutilon viscosum|2|NO||""|wfo-0001421651|wcvp-3001559|IPNI|5|1|0|0|0
203|Abutilon whistleri|1|YES|1|TreeGOER|wfo-0000512383|wcvp-2611064|IPNI|0|1|0|0|0
204|Abutilon wrightii|1|NO||""|wfo-0000512388|wcvp-2611069|IPNI|1|1|0|0|0
205|Acacia abbatiana|1|NO||""|wfo-0001266897|wcvp-2611080|IPNI|1|1|0|0|0
206|Acacia abbreviata|1|NO||""|wfo-0000202716|wcvp-2611081|IPNI|3|1|0|0|0
207|Acacia abrupta|1|NO||""|wfo-0000202124|wcvp-2611083|IPNI|2|1|0|0|0
208|Acacia acanthaster|1|NO||""|wfo-0000201764|wcvp-2611088|IPNI|2|1|0|0|0
209|Acacia acanthoclada|2|NO||""|wfo-0000201757|wcvp-2611091|IPNI|4|1|0|0|0
210|Acacia acellerata|1|NO||""|wfo-0000202270|wcvp-2611099|IPNI|2|1|0|0|0
211|Acacia acinacea|2|NO||""|wfo-0000192737|wcvp-2611102|IPNI|7|1|0|0|0
212|Acacia aciphylla|2|NO||""|wfo-0000202966|wcvp-2611104|IPNI|2|1|0|0|0
213|Acacia acoma|1|NO||""|wfo-0000202001|wcvp-2611106|IPNI|2|1|0|0|0
214|Acacia acradenia|7|YES|1|TreeGOER|wfo-0000202602|wcvp-2611108|IPNI|3|1|0|1|0
215|Acacia acrionastes|3|YES|1|TreeGOER|wfo-0000201208|wcvp-2611109|IPNI|5|1|0|0|0
216|Acacia acuaria|1|NO||""|wfo-0000201731|wcvp-2611110|IPNI|2|1|0|0|0
217|Acacia aculeatissima|6|YES|1|TreeGOER|wfo-0000201687|wcvp-2611113|IPNI|3|1|0|0|0
218|Acacia aculeiformis|1|NO||""|wfo-0000201936|wcvp-2611114|IPNI|2|1|0|0|0
219|Acacia acuminata|16|YES|1|TreeGOER|wfo-0000185281|wcvp-2611115|IPNI|5|1|0|0|0
220|Acacia acutata|1|NO||""|wfo-0000201895|wcvp-2611121|IPNI|2|1|0|0|0
221|Acacia adenogonia|1|NO||""|wfo-0000202405|wcvp-2611128|IPNI|2|1|0|0|0
222|Acacia adinophylla|1|NO||""|wfo-0000201947|wcvp-2611135|IPNI|2|1|0|0|0
223|Acacia adjutrices|1|NO||""|wfo-0001341992|wcvp-3001673|IPNI|3|1|0|0|0
224|Acacia adnata|1|NO||""|wfo-0000202248|wcvp-2611136|IPNI|2|1|0|0|0
225|Acacia adoxa|2|NO||""|wfo-0000203134|wcvp-2611137|IPNI|3|1|0|0|0
226|Acacia adsurgens|8|YES|1|TreeGOER|wfo-0000202896|wcvp-2611142|IPNI|4|1|0|0|0
227|Acacia adunca|6|YES|1|TreeGOER|wfo-0001053987|wcvp-2611144|IPNI|3|2|0|1|0
228|Acacia aemula|1|NO||""|wfo-0000201880|wcvp-2611146|WCVP|0|1|0|0|0
229|Acacia aestivalis|3|YES|1|TreeGOER|wfo-0000201163|wcvp-2611148|IPNI|4|1|0|0|0
230|Acacia alata|3|NO||""|wfo-0000201564|wcvp-2611150|IPNI|4|1|0|0|0
231|Acacia alaticaulis|1|NO||""|wfo-0001345338|wcvp-3008613|IPNI|1|1|0|0|0
232|Acacia alcockii|1|NO||""|wfo-0000201114|wcvp-2611166|IPNI|5|1|0|0|0
233|Acacia alexandri|1|NO||""|wfo-0000201426|wcvp-2611168|IPNI|2|1|0|0|0
234|Acacia alleniana|4|YES|1|TreeGOER|wfo-0000201402|wcvp-2611169|IPNI|3|1|0|0|0
235|Acacia alpina|1|NO||""|wfo-0000203042|wcvp-2611172|IPNI|3|1|0|0|0
236|Acacia amanda|1|NO||""|wfo-0000202470|wcvp-2611179|IPNI|3|1|0|0|0
237|Acacia amblygona|2|NO||""|wfo-0000201737|wcvp-2611186|IPNI|4|1|0|0|0
238|Acacia amblyophylla|2|YES|1|TreeGOER|wfo-0000201154|wcvp-2611187|IPNI|3|1|0|0|0
239|Acacia amentifera|1|NO||""|wfo-0000202710|wcvp-2611190|IPNI|2|1|0|0|0
240|Acacia ammobia|5|YES|1|TreeGOER|wfo-0000202855|wcvp-2611191|IPNI|4|1|0|0|0
241|Acacia ammophila|2|YES|1|TreeGOER|wfo-0000202381|wcvp-2611192|IPNI|2|1|0|0|0
242|Acacia amoena|2|YES|1|Synthesis|wfo-0001053990|wcvp-2611193|IPNI|5|1|0|1|0
243|Acacia ampliata|2|YES|1|TreeGOER|wfo-0000202957|wcvp-2611196|IPNI|3|1|0|0|0
244|Acacia ampliceps|14|YES|1|TreeGOER|wfo-0000201483|wcvp-2611197|IPNI|4|1|0|0|0
245|Acacia amputata|1|NO||""|wfo-0000203213|wcvp-2611198|IPNI|2|1|0|0|0
246|Acacia amyctica|1|NO||""|wfo-0000202308|wcvp-2611199|IPNI|2|1|0|0|0
247|Acacia anarthros|1|NO||""|wfo-1000002017|wcvp-2611201|IPNI|0|1|0|0|0
248|Acacia anasilla|1|NO||""|wfo-0000203145|wcvp-2611202|IPNI|2|1|0|0|0
249|Acacia anastema|2|YES|1|TreeGOER|wfo-0000202953|wcvp-2611203|IPNI|2|1|0|0|0
250|Acacia anastomosa|1|NO||""|wfo-0001338392|wcvp-2994465|IPNI|0|1|0|0|0
251|Acacia anaticeps|5|YES|1|TreeGOER|wfo-0000202471|wcvp-2611204|IPNI|3|1|0|0|0
252|Acacia anceps|2|NO||""|wfo-0000201116|wcvp-2611205|IPNI|5|1|0|1|0
